label,page,text,id,surrounding_text
timexy,28,"22 
March 2013","TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""","20  Finally, the Court should not that at the time, Ms Heard told Nathan Holmes on 22 
March 2013 at 12:37 that she was (cid:181)trying to wake(cid:182) Mr Depp [7/1e/H21A.17A], but 
in  cross-examination  that  M(cid:85)  De(cid:83)(cid:83)  (cid:82)(cid:81)  22  Ma(cid:85)c(cid:75)  (cid:90)a(cid:86)  (cid:179)(cid:82)(cid:81)  a  24  (cid:75)(cid:82)(cid:88)(cid:85) c(cid:82)(cid:78)e-fueled 
be(cid:81)de(cid:85)(cid:180) (Transcript, Day 11, page 1810) a(cid:81)d M(cid:86) He(cid:81)(cid:85)(cid:76)(cid:84)(cid:88)e(cid:86)(cid:182)(cid:86) e(cid:89)(cid:76)de(cid:81)ce (cid:90)a(cid:86) (cid:87)(cid:75)a(cid:87) 
was in the kitchen (Transcript Day 13, pages 2123-2124). 
 "
timexy,29,"18  April 
2016","TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00"""," 
1.  The  Australian  criminal  proceedings  against  Ms  Heard  were  concluded  on  18  April 
2016 when Ms Heard entered a plea of guilty to a  summary offence of producing a 
false  or  misleading  document.  A  transcript  is  at  [5.1/201(b)/F1303.3-8].  The  Court 
Order  of  18  April  2016  is  at  [5.1/200/F1219-F1220].  A  helpful  report  of  those  court 
proceedings from The Guardian, 18 April 2016 is at [11/190/P173-P176]. "
timexy,29,18  April  2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00"""," 
1.  The  Australian  criminal  proceedings  against  Ms  Heard  were  concluded  on  18  April 
2016 when Ms Heard entered a plea of guilty to a  summary offence of producing a 
false  or  misleading  document.  A  transcript  is  at  [5.1/201(b)/F1303.3-8].  The  Court 
Order  of  18  April  2016  is  at  [5.1/200/F1219-F1220].  A  helpful  report  of  those  court 
proceedings from The Guardian, 18 April 2016 is at [11/190/P173-P176]. "
timexy,29,18 April 2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00"""," 
1.  The  Australian  criminal  proceedings  against  Ms  Heard  were  concluded  on  18  April 
2016 when Ms Heard entered a plea of guilty to a  summary offence of producing a 
false  or  misleading  document.  A  transcript  is  at  [5.1/201(b)/F1303.3-8].  The  Court 
Order  of  18  April  2016  is  at  [5.1/200/F1219-F1220].  A  helpful  report  of  those  court 
proceedings from The Guardian, 18 April 2016 is at [11/190/P173-P176]. "
timexy,29,10 years,"TIMEX3 type=""DURATION"" value=""P10Y""","(cid:179)[The  magi(cid:86)(cid:87)(cid:85)a(cid:87)e]  earlier  dismissed  criminal  charges  against  Heard  of  illegally 
importing animals, which attracted a maximum penalty of 10 years jail.  
This  was  in  exchange  for  Heard  pleading  guilty  to  making  a  false  customs 
declaration by ticking a box on her passenger arrival card indicating she had no 
animals when arriving by private jet in Brisbane on 21 April last year. 
Heard offered to cop the plea in exchange for dropping of the more serious charges 
almost six months ago but commonwealth prosecutors, acting on instruction from 
deput(cid:92) prime minister Barnab(cid:92) Jo(cid:92)ce(cid:182)s agriculture department, rejected the offer(cid:180) "
DATE,29,21 April last year,,"(cid:179)[The  magi(cid:86)(cid:87)(cid:85)a(cid:87)e]  earlier  dismissed  criminal  charges  against  Heard  of  illegally 
importing animals, which attracted a maximum penalty of 10 years jail.  
This  was  in  exchange  for  Heard  pleading  guilty  to  making  a  false  customs 
declaration by ticking a box on her passenger arrival card indicating she had no 
animals when arriving by private jet in Brisbane on 21 April last year. 
Heard offered to cop the plea in exchange for dropping of the more serious charges 
almost six months ago but commonwealth prosecutors, acting on instruction from 
deput(cid:92) prime minister Barnab(cid:92) Jo(cid:92)ce(cid:182)s agriculture department, rejected the offer(cid:180) "
timexy,29,six months,"TIMEX3 type=""DURATION"" value=""P6M""","(cid:179)[The  magi(cid:86)(cid:87)(cid:85)a(cid:87)e]  earlier  dismissed  criminal  charges  against  Heard  of  illegally 
importing animals, which attracted a maximum penalty of 10 years jail.  
This  was  in  exchange  for  Heard  pleading  guilty  to  making  a  false  customs 
declaration by ticking a box on her passenger arrival card indicating she had no 
animals when arriving by private jet in Brisbane on 21 April last year. 
Heard offered to cop the plea in exchange for dropping of the more serious charges 
almost six months ago but commonwealth prosecutors, acting on instruction from 
deput(cid:92) prime minister Barnab(cid:92) Jo(cid:92)ce(cid:182)s agriculture department, rejected the offer(cid:180) "
timexy,29,October  2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00"""," 
4.  As  the  Court  transcript  records:  (cid:179)On  13th  of  October  2015,  Ms  Heard  provided  an 
unsworn statement to the Prosecution regarding her actions and state of mind relevant "
DATE,30,3rd of,,"to the offence, and on 3rd of November 2015, there was an indication that she would 
plea to the charge that she made the false statement, on the basis that the other two 
charges were discontinued. This has, in effect, occurred today (cid:171)(cid:180) [F1303.5]  
 "
timexy,30,November 2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","to the offence, and on 3rd of November 2015, there was an indication that she would 
plea to the charge that she made the false statement, on the basis that the other two 
charges were discontinued. This has, in effect, occurred today (cid:171)(cid:180) [F1303.5]  
 "
DATE,30,the previous day,,"5.1. Ms Heard swore an affidavit the previous day, 17 April 2016, in which she set out 
matters  she  relied  upon  in  mitigation,  namely  blaming  others,  Kate  James  and 
Kevin  Murphy,  see  paras  26-38  [5.1/200/F1229-F1242].  The  magistrate  in 
sentencing relied upon that evidence incl(cid:88)ding concl(cid:88)ding (cid:87)ha(cid:87) (cid:179)(cid:171)Ms Heard was 
unaware  of  the  documentation  for  the  dogs(cid:182)  importation  into  Australia  had  not 
been complete(cid:180) [5.1/201(b)/F1303.6]. "
timexy,30,17 April 2016,"TIMEX3 type=""DATE"" value=""2016-04-17T00:00:00""","5.1. Ms Heard swore an affidavit the previous day, 17 April 2016, in which she set out 
matters  she  relied  upon  in  mitigation,  namely  blaming  others,  Kate  James  and 
Kevin  Murphy,  see  paras  26-38  [5.1/200/F1229-F1242].  The  magistrate  in 
sentencing relied upon that evidence incl(cid:88)ding concl(cid:88)ding (cid:87)ha(cid:87) (cid:179)(cid:171)Ms Heard was 
unaware  of  the  documentation  for  the  dogs(cid:182)  importation  into  Australia  had  not 
been complete(cid:180) [5.1/201(b)/F1303.6]. "
timexy,30,18  April  2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""","5.2. There  had  been  more  serious  charges,  which  were  dropped.  See  (i)  written 
submissions  of  the  prosecution  dated  18  April  2016  [5.1/200/F1278-F1284]  at 
para 7: (cid:179)the two other charges having been withdrawn and the plea having been 
proposed  at  an  earlier  time(cid:171)(cid:180)  F1279  and  (ii)  the  written  submissions  of  Ms 
Hea(cid:85)d(cid:182)(cid:86) 
the  same  date 
[5.1/200/F1288]. Further, as those submissions on M(cid:86) Hea(cid:85)d(cid:182)(cid:86) behalf made clear, 
she was relying on a mistake and that staff had obtained permission for the dogs; 
the  Court  is  invited  to  read  para  8  of  those  submissions  in  full  [F1289].  Her 
submissions continued: (cid:179)The details of her belief and the bases for it are described 
in the sworn declaration of Ms Heard. It is supported by the sworn declaration by 
Kevin Murph(cid:92), who is the estate manager for Ms Heard(cid:182)s husband, Mr Depp. The 
Crown  does  not  challenge  this  evidence.(cid:180)  That  is  a  reference  to  M(cid:86)  Hea(cid:85)d(cid:182)(cid:86) 
affida(cid:89)i(cid:87) and M(cid:85) M(cid:88)(cid:85)(cid:83)h(cid:92)(cid:182)(cid:86) decla(cid:85)a(cid:87)ion da(cid:87)ed 13 Oc(cid:87)obe(cid:85) 2015 [5.1/201(a)/F1303.1-
2]  "
DATE,30,early February,,"5.3. That written evidence was relied upon by Ms Heard, see written submissions at 
para 10 inc. footnotes Ms Heard then went on to blame Kate James (who she had 
dismissed in early February) at para 11 [F1289-F1291]. "
DATE,30,"1896-
1905",," 
6.  The Court is invited to read in full from the Transcripts how Ms Heard responded to 
questions  in  cross-examination  on  these  matters  and  in  particular  to  questions  that 
she (a) had put pressure on Mr Murphy to provide a declaration to assist her and (b) 
had sought to shift the blame onto Kate James. See Transcript, DAY 12, pages 1896-
1905.  "
timexy,30,"October 

2015","TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""",
timexy,30,"11 October 
2015","TIMEX3 type=""DATE"" value=""2015-10-11T00:00:00""","7.2. When pressed on the documents, including the email at F885 dated 11 October 
2015, Ms Heard again denied that she had intended to try to pressure anyone to 
provide a helpful statement: "
timexy,31,October 2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""","8.1. Ms Heard had not (cid:177) at the time of the above exchanges in October 2015 about 
obtaining evidence from Kate James (cid:177) pleaded guilty to any charge. She was (as 
recorded in the transcript of the 18 April 2016 hearing) offering to do so as part of 
a plea bargain.  
 "
timexy,31,18 April 2016,"TIMEX3 type=""DATE"" value=""2016-04-18T00:00:00""","8.1. Ms Heard had not (cid:177) at the time of the above exchanges in October 2015 about 
obtaining evidence from Kate James (cid:177) pleaded guilty to any charge. She was (as 
recorded in the transcript of the 18 April 2016 hearing) offering to do so as part of 
a plea bargain.  
 "
timexy,31,October  2015,"TIMEX3 type=""DATE"" value=""2015-10-01T00:00:00""","8.2. At  that  time,  i.e.  October  2015,  Ms  Heard  had  every  reason  to  ask  someone 
(whether  Kevin  Murphy  or Kate  James)  to  lie  for  her  in  order to  strengthen  her 
hand in that plea bargaining, to get the more serious charges dropped (cid:177) and Mr 
Murphy  felt  compelled  to  do  so  in  his  declaration  of  13  October  2015 
[5.1/201(a)/F1303.1-2]. "
timexy,31,13  October  2015,"TIMEX3 type=""DATE"" value=""2015-10-13T00:00:00""","8.2. At  that  time,  i.e.  October  2015,  Ms  Heard  had  every  reason  to  ask  someone 
(whether  Kevin  Murphy  or Kate  James)  to  lie  for  her  in  order to  strengthen  her 
hand in that plea bargaining, to get the more serious charges dropped (cid:177) and Mr 
Murphy  felt  compelled  to  do  so  in  his  declaration  of  13  October  2015 
[5.1/201(a)/F1303.1-2]. "
timexy,31,April 2016,"TIMEX3 type=""DATE"" value=""2016-04-01T00:00:00""","8.1. Ms Heard had not (cid:177) at the time of the above exchanges in October 2015 about 
obtaining evidence from Kate James (cid:177) pleaded guilty to any charge. She was (as 
recorded in the transcript of the 18 April 2016 hearing) offering to do so as part of 
a plea bargain.  
 "
timexy,36,27 MAY 2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""","________________________________________________________________ 
ANNEX E (cid:55)O CLAIMAN(cid:55)(cid:182)(cid:54) CLO(cid:54)ING (cid:54)KELETON (cid:177)  
CON(cid:54)IDERA(cid:55)ION OF M(cid:54) HEARD(cid:182)(cid:54) E(cid:57)IDENCE A(cid:55)(cid:55)ENDANCE A(cid:55) (cid:55)HE 
COURTHOUSE ON 27 MAY 2016  
________________________________________________________________ "
timexy,36,27  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-27T00:00:00""","1.  It  was  put  to Ms  Heard  that  her  attendance  at  the  Courthouse  on  27  May  2016 
was a publicity stunt  (cid:177) her attendance being unnecessary (See Transcript, DAY 
12, pages 1991-2 of the Transcript):  "
DATE,36,May yesterday,,"(cid:179)(cid:171) O(cid:81) (cid:87)he (cid:85)e(cid:86)(cid:87)(cid:85)ai(cid:81)i(cid:81)g (cid:82)(cid:85)de(cid:85)  -- we have had the footage played to you of 
27th May yesterday -- there are two questions that I want to ask. There is 
no limitation whatsoever upon you or your lawyers as to how much detail 
is in an application, is there? "
timexy,37,17 June 2016,"TIMEX3 type=""DATE"" value=""2016-06-17T00:00:00""","4.  The  form  requesting  a  Temporary  Restraining  Order  was  completed  on  Ms 
Heard(cid:182)s behalf on 26 Ma(cid:92) 2016. It states, in terms, that upon granting or refusing 
the TRO application, the Court will schedule a hearing on the petitioner(cid:182)s request 
(see  Section  25  of Form  DV-100  [4/111/F646]). The  next form  in  the  procedure 
(DV-109) shows, at Section 4, that any orders granted on the initial request are 
granted  (or  refused)  until  the  court  hearing  [4/111/F667].  Section  5  [on  F668] 
makes  it  clear  that  any  order  made  on  filing  the  application  is  made  until  the 
hearing. The hearing was listed for 17 June 2016 [4/112/F677].  "
DATE,55,"7
 
 
 
 
 
 
 
 
 
 
e",,"  
 
 
 
 
7
 
 
 
 
 
 
 
 
 
 
e
x
p
r
e
s
s
e
d
 
c
o
n
c
e
r
n
 
t
o
 
y
o
u
r
 
h
u
s
b
a
n
d
a
n
d
D"
